HouseholdSurvey.earninc_hihsp,HouseholdSurvey.hihage,HouseholdSurvey.hihgender,HouseholdSurvey.hihecon,HouseholdSurvey.specon,HouseholdSurvey.age_1,HouseholdSurvey.hhwork,HouseholdSurvey.hedqual8,HouseholdSurvey.nssec2,HouseholdSurvey.seg,HouseholdSurvey.tothinc,HouseholdSurvey.ha7_1,HouseholdSurvey.hb509,HouseholdSurvey.save1,HouseholdSurvey.credit109a,HouseholdSurvey.credit309c,HouseholdSurvey.hcost_amt,HouseholdSurvey.hk2
0,29,2,8,8,6,5,2,9,17,NA,8,4,NA,NA,NA,650,2
0,67,1,5,5,14,5,4,9,17,6,5,2,NA,NA,NA,NA,3
0,68,2,5,NA,14,2,4,9,17,7,5,2,3,0,0,NA,1
27000,24,1,2,3,5,3,4,3,6,6,2,1,NA,NA,NA,500,3
0,40,2,8,NA,8,2,3,9,17,3,8,4,NA,NA,NA,500,2
0,83,1,5,NA,17,2,5,9,17,3,5,5,NA,NA,NA,NA,2
53000,33,1,2,2,7,3,4,1,5,8,2,1,3,0,0,600,3
26000,36,2,2,2,8,3,7,2,5,6,2,1,1,0,0,430,3
0,71,1,5,5,14,5,3,9,17,7,5,2,NA,NA,NA,NA,1
33000,38,2,2,NA,8,1,1,2,5,7,2,1,1,0,0,650,2
8000,31,2,3,NA,7,1,3,7,7,5,3,4,1,0,0,460,5
0,82,1,5,5,17,5,5,9,17,5,5,2,NA,NA,NA,NA,2
47000,39,1,2,2,8,3,6,1,5,8,2,4,NA,NA,NA,750,2
34000,63,1,2,2,13,3,NA,6,10,7,2,2,NA,NA,NA,NA,1
43000,36,1,2,NA,8,1,4,2,5,8,2,4,2,0,0,650,2
43000,47,1,2,2,10,3,1,7,11,8,2,1,3,0,0,370,2
12000,24,2,2,NA,5,1,4,3,6,3,2,4,NA,NA,NA,1000,3
62000,37,1,2,2,8,3,4,2,6,8,2,4,NA,NA,NA,1000,1
0,65,2,5,NA,13,2,6,9,17,NA,5,4,NA,NA,NA,450,3
